,Date,주택뉴스심리지수,오피스뉴스심리지수,리테일뉴스심리지수,물류뉴스심리지수
473,2020-04-18,0.333,0.0,0.0,0.0
474,2020-04-19,0.429,0.5,0.0,0.333
475,2020-04-20,0.5,0.167,0.0,0.667
476,2020-04-21,0.426,0.333,0.0,0.5
477,2020-04-22,0.532,0.5,0.4,0.375
478,2020-04-23,0.45,0.4,0.4,0.385
479,2020-04-24,0.588,0.6,0.0,0.2
480,2020-04-25,0.545,0.75,1.0,1.0
481,2020-04-26,0.476,0.0,0.333,0.0
482,2020-04-27,0.521,0.667,0.833,0.462
483,2020-04-28,0.522,0.714,0.667,0.375
484,2020-04-29,0.613,0.214,0.5,0.4
485,2020-04-30,0.524,0.167,0.0,0.625
486,2020-05-01,0.36,0.4,0.0,0.5
487,2020-05-02,0.5,0.667,0.0,0.5
488,2020-05-03,0.429,0.0,0.0,0.0
489,2020-05-04,0.809,0.714,1.0,0.333
490,2020-05-05,0.647,0.0,0.0,0.5
491,2020-05-06,0.576,0.458,1.0,0.455
492,2020-05-07,0.371,0.333,0.0,0.182
493,2020-05-08,0.481,0.571,0.0,0.333
494,2020-05-09,0.0,1.0,0.5,0.333
495,2020-05-10,0.714,0.75,1.0,0.4
496,2020-05-11,0.675,0.25,0.5,0.562
497,2020-05-12,0.719,0.667,1.0,0.583
498,2020-05-13,0.621,0.5,0.0,0.235
499,2020-05-14,0.609,0.444,0.667,0.333
500,2020-05-15,0.507,0.4,0.667,0.667
501,2020-05-16,0.429,0.5,0.0,0.5
502,2020-05-17,0.467,0.0,0.0,0.0
503,2020-05-18,0.436,0.143,0.2,0.273
504,2020-05-19,0.261,0.077,0.0,0.167
505,2020-05-20,0.482,0.5,0.5,0.167
506,2020-05-21,0.5,0.375,0.0,0.333
507,2020-05-22,0.365,0.286,0.4,0.5
508,2020-05-23,0.273,0.0,0.5,0.0
509,2020-05-24,0.435,0.667,1.0,0.4
510,2020-05-25,0.542,0.615,0.0,0.647
511,2020-05-26,0.506,0.375,0.2,0.4
512,2020-05-27,0.477,0.333,0.6,0.5
513,2020-05-28,0.593,0.476,0.5,0.375
514,2020-05-29,0.348,0.688,0.5,0.182
515,2020-05-30,0.381,0.571,1.0,0.087
516,2020-05-31,0.561,0.667,1.0,0.125
517,2020-06-01,0.536,0.455,0.429,0.097
518,2020-06-02,0.611,0.6,0.333,0.118
519,2020-06-03,0.677,0.333,0.3,0.214
520,2020-06-04,0.421,0.375,0.0,0.333
521,2020-06-05,0.697,0.333,0.0,0.143
522,2020-06-06,0.25,0.5,0.0,0.0
523,2020-06-07,0.667,0.5,1.0,0.286
524,2020-06-08,0.571,0.182,0.0,0.429
525,2020-06-09,0.85,0.333,0.0,0.2
526,2020-06-10,0.583,0.167,0.667,0.083
527,2020-06-11,0.691,0.286,0.4,0.167
528,2020-06-12,0.556,0.5,0.0,0.75
529,2020-06-13,0.533,0.5,0.0,0.0
530,2020-06-14,0.842,0.5,1.0,0.286
531,2020-06-15,0.714,0.375,0.5,0.444
532,2020-06-16,0.803,0.182,0.333,0.2
533,2020-06-17,0.795,0.667,1.0,0.2
534,2020-06-18,0.579,0.4,0.333,0.375
535,2020-06-19,0.629,0.545,0.0,0.4
536,2020-06-20,0.72,0.75,1.0,1.0
537,2020-06-21,0.604,0.0,0.0,0.5
538,2020-06-22,0.574,0.4,0.5,0.6
539,2020-06-23,0.571,0.5,0.0,0.4
540,2020-06-24,0.569,0.0,0.5,0.4
541,2020-06-25,0.627,0.167,0.0,0.6
542,2020-06-26,0.543,0.364,0.25,0.0
543,2020-06-27,0.6,0.0,0.0,1.0
544,2020-06-28,0.5,0.5,1.0,0.667
545,2020-06-29,0.688,0.722,0.714,0.474
546,2020-06-30,0.6,0.25,0.25,0.182
